0.00100000000000   0.974603924015115,0.8906
   0.005000000000000   0.906780013420890,0.8315
   0.020000000000000   0.831766532876598,0.7916
   0.050000000000000   0.779842920214462,0.7606
   0.100000000000000   0.737359493898511,0.738
   0.150000000000000   0.709844821813715,0.7214
   0.200000000000000   0.688228963154712,0.7065
   0.250000000000000   0.669619890399399,0.6927
   0.300000000000000   0.652672758448303,0.68
   0.350000000000000   0.636600617036280,0.669
   0.400000000000000   0.620842482873290,0.6565
 0.450000000000000   0.611183943946376,0.6443
   0.500000000000000   0.586137760522092,0.6322
   0.550000000000000   0.561293593368157,0.62
   0.600000000000000   0.547132716917154,0.6076
   0.650000000000000   0.529722969953095,0.5974
   0.650000000000000   0.517529038822157,0.5846
   0.670000000000000   0.519870798765900,0.5712
   0.700000000000000   0.484140972551539,0.5573
   0.710000000000000   0.474191835565817,0.5456
